Vietnamese, Bahnar
Vua Đa-vít ra lệnh cho tất cả những người lãnh đạo Y-sơ-ra-ên phải giúp đỡ thái tử Sa-lô-môn,Đawit khan pơkă kơ đĭ-đăng lu kră pơgơ̆r Isơrael athei tơgŭm kon drŏ-nglo sư Sôlômôn
"Khi Đa-vít đã già, tuổi cao, vua lập thái tử Sa-lô-môn lên làm vua Y-sơ-ra-ên","Đawit đĭ kră, sơnăm sư đĭ sot bơih, na sư pơchĕp ăn kơ kon drŏ-nglo sư Sôlômôn pơm pơtao Isơrael"
"Vua cũng tập họp tất cả những người lãnh đạo Y-sơ-ra-ên, những thầy tế lễ và người Lê-vi","Sư krao akŭm đĭ lu kră pơgơ̆r bơngai Isơrael, lu 'bok soi păng bơngai Lêwi"
"Người Lê-vi từ ba mươi tuổi trở lên đều được kiểm kê, tổng số người là ba mươi tám ngàn người","Bơngai Lêwi iŏk đơ̆ng pêng-jĭt sơnăm tơ kơpal, đe kư̆m jô̆ đĭ, đĭ-đăng đei pêng-jĭt tơhngam-rơbâu 'nu"
Bốn ngàn người canh giữ cổng; bốn ngàn người ca ngợi CHÚA bằng nhạc khí Đa-vít đã chế tạo,Na puăn-rơbâu 'nu bơngai jang gak wei-lăng 'măng jang; păng puăn-rơbâu 'nu bơngai hơri ư-ang kơ Kră Yang păng brŏ inh ăn kơ bơngai hơri bơnê ư-ang
"Vua Đa-vít chia người Lê-vi thành từng ban theo các con của Lê-vi là Ghẹt-sôn, Kê-hát và Mê-ra-ri","Đawit asong lu sư kiơ̆ kơ khŭl lăm pêng 'nu kon drŏ-nglo Lêwi, noh Gersôm, Kôhat păng Mêrari"
Các con của Ghẹt-sôn là:,Gah kon sâu Gersôm đei:
La-ê-đan và Si-mê-i,Lađan păng Simêi
Các con trai của La-ê-đan:,Kon drŏ-nglo Lađan noh:
"Giê-hi-ên đứng đầu, rồi đến Xê-tham và Giô-ên, tất cả là ba người","Jêhiêl pơm yŏng kơdră, Sêtham păng Jôel đei pêng 'nu"
Các con trai của Si-mê-i là:,Kon drŏ-nglo Simei noh:
"Sê-lô-mi, Ha-xi-ên và Ha-ran, ba người","Sêlômôt, Hasiel păng Haran pêng 'nu"
Những người này là trưởng tộc La-ê-đan,Noh lu yŏng kơdră adrĕch adrung Lađan
và các con trai của Si-mê-i là:,Kon drŏ-nglo Simêi noh:
"Gia-hát, Xi-na, Giê-úc và Bê-ri-a","Jahat, Sisa, Jêrus păng Bêria"
Đây là bốn con trai của Si-mê-i,Noh jơ̆ puăn 'nu kon drŏ-nglo Simêi
"Gia-hát đứng đầu, thứ nhì là Xi-xa; còn Giê-úc và Bê-ri-a không có nhiều con cháu nên được kể chung vào một tộc","Jahat pơm yŏng mă minh, na Sisa mă 'bar; mă-lei Jêrus păng Bêria, ưh kơ đei kon drŏ-nglo; na đe jô̆ lu sư thoi minh pôm hnam dơnŏ đĕch"
Các con trai của Kê-hát là:,Kon sâu Kôhat kon drŏ-nglo Kôhat noh:
"Am-ram, Dít-sê-ha, Hếp-rôn và U-xi-ên, bốn người","Amram, Ishar, Hêbrôn, Usiet, đei puăn 'nu"
Các con trai của Am-ram là:,Kon drŏ-nglo Amram noh:
A-rôn và Môi-se;,Arôn păng Môis;
"A-rôn được tách riêng ra, ông và dòng dõi ông để dâng những lễ vật chí thánh, đời đời dâng tế lễ cho CHÚA, phục vụ Ngài và nhân danh Ngài chúc phước cho dân muôn đời","Arôn păng kon sâu sư klah asong băl, wă pơyơ̆r lu tơmam soi 'lơ̆ng rơgoh păng ling-lang pơyơ̆r tơmam soi ăn kơ Kră Yang, bơ̆jang 'bơ̆t anăp Kră Yang hăm yua anăn Kră Yang sơkat ăn pŭn hiôk kơ kon pơlei pơla ling-lang"
Môi-se là người của Đức Chúa Trời; các con ông được kể vào chi tộc Lê-vi,"Lu drŏ-nglo Môis, bơngai Kră Yang 'Bok Kei-Dei, chih tơmơ̆t jô̆ lăm adrĕch adrung Lêwi"
"Trong vòng con cháu Ghẹt-sôn,",Kon kơdră Gersôm noh:
Con trai của Ê-li-ê-se là:,Kon sâu Êliêser noh:
"Rê-ha-bia, làm trưởng;",Rehabia kon kơdră;
Ê-li-ê-se không có con trai nào khác nhưng Rê-ha-bia có nhiều con cháu,Êliêser ưh kơ đei kon drŏ-nglo dơ̆ng; mă-lei kon drŏ-nglo Rêhabia lơ dêh
"Trong số con cháu của Dít-sê-ha,",Kon drŏ-nglo Ishar noh:
Sê-lô-mi là trưởng,Sêlômit kon kơdră
Các con trai của U-xi-ên gồm có,Kon drŏ-nglo Usiêl noh:
"Mi-ca, trưởng và Di-si-gia, thứ",Mika kon kơdră păng Isia kon mă 'bar
Các con trai của Mê-ra-ri là:,Kon sâu Mêrari kon drŏ-nglo Mêrari noh:
Mác-li và Mu-si,Mahli păng Musi
Các con trai của Mác-li là:,Kon drŏ-nglo Mahli noh:
Ê-lê-a-sa và Kích,Êlêasar păng Kis
"Ê-lê-a-sa chết không có con trai chỉ có con gái và các con trai của Kích, là họ hàng, cưới chúng làm vợ","Êlêasar lôch, ưh kơ đei kon drŏ-nglo, đei lu kon drŏ-kăn đĕch: Lu kon drŏ-nglo Kis 'nhŏng oh lu sư, na iŏk oei kơ lu sư pơm akăn"
Các con trai của Mu-si là:,Kon drŏ-nglo Musi noh:
"Mác-li, Ê-đe và Giê-rê-mốt, tất cả là ba người","Mahli, Êder păng Jêremôt đei pêng 'nu"
Đây là con cháu Lê-vi theo tông tộc; các trưởng tộc được ghi danh theo tộc mình; họ là những người nam từ hai mươi tuổi trở lên làm công việc phục dịch trong đền thờ CHÚA,"Noh lu kon sâu Lêwi kiơ̆ kơ adrĕch 'bă lu sư đe đei chih anăn lu yŏng kơdră păng rim 'nu kiơ̆ kơ adrĕch 'bă lu sư, bơngai drŏ-nglo iŏk đơ̆ng 'bar-jĭt sơnăm tơ kơpal, bơ̆jang lăm hnam Kră Yang"
"Vì vua Đa-vít nói rằng: “CHÚA, Đức Chúa Trời của Y-sơ-ra-ên đã ban cho dân Ngài yên ổn và Ngài đến ngự tại Giê-ru-sa-lem đời đời",Yua kơ noh Đawit đei khan: Kră Yang 'Bok Kei-Dei Isơrael đei ăn tơdrong hiôk-hian kơ kon pơlei Sư păng Kră Yang oei tơ Jêrusalem ling-lang
"Theo lời dặn sau cùng của vua Đa-vít, người ta kiểm kê số người Lê-vi từ hai mươi tuổi trở lên","Kiơ̆ nơ̆r tơtă tuch-luch Đawit, đe jô̆ pơnhen kon pơlei bơngai Lêwi, iŏk đơ̆ng 'bar-jĭt sơnăm, tơ kơpal"
"Vậy, công việc của người Lê-vi là giúp con cháu A-rôn trong việc phục dịch đền thờ CHÚA, coi sóc các sân đền, các phòng bên cạnh, lo việc thanh tẩy các vật dụng thánh và phục dịch đền thờ Đức Chúa Trời","Tơdrong jang lu bơngai Lêwi tơgŭm kon sâu Arôn, wă bơ̆jang lăm hnam Kră Yang, wei-lăng lu cham hnam, păng lu anih cheng, pơm rơgoh lu tơmam 'lơ̆ng rơgoh păng lăng awih awăn lăm hnam Kră Yang 'Bok Kei-Dei"
"Họ cũng lo sắp bánh lên bàn thờ, bột mì cho tế lễ chay, bánh tráng không men, việc nướng bánh, trộn dầu, các cân lượng và kích thước","Lu sư kư̆m wei-lăng gah dan pôk 'bĕng tơ kơpal gơ'bang, tơpŭng 'ba mi wă pơyơ̆r phe 'ba wă yua pơm tơmam sa sap, 'bĕng klang ưh kơ đei 'buh pông, 'buih phang 'bĕng pơjrâu hăm đak rơmă păng kŏng pơtŏ tih iĕ"
Mỗi buổi sáng và buổi chiều người Lê-vi phải đứng đó cảm tạ và ca ngợi CHÚA,"Rim pơgê păng rim kơsơ̆, lu bơngai Lêwi athei dơ̆ng tơ noh kơkuh bơnê păng hơri ư-ang kơ Kră Yang"
"Như vậy, họ có trách nhiệm về trại hội kiến, về nơi thánh và cùng với con cháu A-rôn, bà con của họ, lo phục dịch đền thờ CHÚA","Thoi noh bơngai Lêwi lu sư kư̆m hiơ̆k wei-lăng bơsŭn anih akŭm păng anih rơgoh, pơm kiơ̆ kơ kon sâu Arôn, 'nhŏng oh lu sư, wă bơ̆jang lăm hnam Kră Yang"
Nhưng Na-đáp và A-bi-hu chết trước cha chúng và không có con; Ê-lê-a-sa và Y-tha-ma trở nên thầy tế lễ,Mă-lei Nađap păng Abihu lôch adrol kơ 'bă lu sư păng ưh kơ đei kon; na Êlêasar păng Ithamar pơm 'bok soi
"Vua Đa-vít cùng với Xa-đốc, thuộc dòng dõi Ê-lê-a-sa, và A-hi-mê-léc thuộc dòng dõi Y-tha-ma, phân chia các thầy tế lễ thành các ban phục vụ",Sađôk kon sâu Êlêasar păng Ahimelek kon sâu Ithamar tơgŭm Đawit klah asong khŭl 'bok soi ăn kơ lu sư kiơ̆ kơ tơdrong jang
Giữa vòng con cháu Ê-lê-a-sa có nhiều trưởng tộc hơn là con cháu Y-tha-ma nên người ta phân chia như sau: Mười sáu trưởng tộc thuộc dòng dõi Ê-lê-a-sa và tám trưởng tộc thuộc dòng dõi Y-tha-ma,Lăm lu kon sâu Êlêasar đei lơ bơngai pơgơ̆r lăm adrĕch adrung hloh kơ lăm kon sâu Ithamar; lei na lu sư asong khŭl thoi âu: Gah kon sâu Êlêasar đei mơjĭt-tơdrâu 'nu bơngai pơgơ̆r lăm adrĕch adrung; na gah kon sâu Ithamar đei tơhngam 'nu bơngai pơgơ̆r lăm adrĕch adrung sư
"Những người này được phân chia theo ban bằng cách rút thăm vì họ đều là những viên chức thánh điện, viên chức của Đức Chúa Trời, thuộc con cháu Ê-lê-a-sa và Y-tha-ma",Đe asong lu sư kiơ̆ kơ đe hlang lăng lei-lăi yua kơ lu sư đei bơngai wei-lăng lăm anih rơgoh păng lu sư bơngai bơ̆jang kơ Kră Yang 'Bok Kei-Dei lăm kon sâu Êlêasar păng kon sâu Ithamar
"Sê-ma-gia là thư ký, con của Na-tha-na-ên, thuộc chi tộc Lê-vi, ghi chép tên của họ trước mặt vua, các quan, thầy tế lễ Xa-đốc, A-hi-mê-léc, con trai A-bia-tha, và các trưởng tộc của thầy tế lễ và người Lê-vi: Cứ mỗi gia tộc thuộc Ê-lê-a-sa thì một gia tộc thuộc Y-tha-ma lại được rút thăm","Sêmaia bơngai chih hla bơar, kon drŏ-nglo Nethanel, sư lăm adrĕch adrung Lêwi, chih anăn lu sư tơmơ̆t lăm sơ̆p hla bơar 'bơ̆t anăp pơtao, lu yŏng pơgơ̆r noh 'bok soi Sađôk, Ahimelek, kon drŏ-nglo Abiathar, lu bơngai yŏng kơdră lăm adrĕch 'bă 'bok soi păng bơngai Lêwi; kư̆ rim adrĕch kon sâu Êlêasar hlang iŏk minh 'nu, đơ̆ng adrĕch kon sâu Ithamar kư̆m hlang iŏk minh 'nu"
Thăm thứ nhất trúng Giê-hô-gia-ríp;,Hlang mă mônh 'bơm trŏ kơ Jêhôiarip;
thăm thứ nhì vào Giê-đa-ê-gia,hlang mă 'bar trŏ kơ Jêđaia
"thăm thứ ba trúng Ha-rim,",Hlang mă pêng trŏ kơ Harim;
thứ tư vào Sê-ô-rim,hlang mă puăn trŏ kơ Sêôrim
"thứ năm trúng Manh-kia,",Hlang mă pơđăm trŏ kơ Malkija;
thứ sáu vào Mia-min,Hlang mă tơdrâu trŏ kơ Mijamin
"thứ bảy trúng Cốt,",hlang mă tơpơh trŏ kơ Hakkôs;
thứ tám vào A-bi-gia,hlang mă tơhngam trŏ kơ Abija
"thứ chín trúng Giê-sua,",hlang mă tơsĭn trŏ kơ Jêsua;
thứ mười vào Sê-ca-nia,hlang mă mơjĭt trŏ kơ Sêkania
"thứ mười một trúng Ê-li-a-síp,",hlang mă mơjĭt-mônh trŏ kơ Êliasip;
thứ mười hai vào Gia-kim,hlang mă mơjĭt-'bar trŏ kơ Jakim
"thứ mười ba trúng Húp-ba,",Hlang mă mơjĭt-pêng trŏ kơ Huppa;
thứ mười bốn vào Giê-sê-báp,hlang mă mơjĭt-puăn trŏ kơ Jêsebeap
"thứ mười lăm trúng Binh-ga,",hlang mă mơjĭt-pơđăm trŏ kơ Bilga;
thứ mười sáu vào Y-mê,hlang mă mơjĭt-tơdrâu trŏ kơ Immer
"thứ mười bảy trúng Hê-xia,",hlang mă mơjĭt-tơpơh trŏ kơ Hêsir;
thứ mười tám vào Phi-xết,hlang mă mơjĭt-tơhngam trŏ kơ Happiser
"thứ mười chín trúng Phê-ta-hia,","hlang mă mơjĭt-tơsĭn trŏ kơ Pêthahia,"
thứ hai mươi vào Ê-xê-chi-ên,hlang mă 'bar-jĭt trŏ kơ Jêheskel
"thứ hai mươi mốt trúng Gia-kin,",hlang mă 'bar-jĭt mônh trŏ kơ Jakin;
thứ hai mươi hai vào Ga-mun,hlang mă 'bar-jĭt 'bar trŏ Gamul
"thứ hai mươi ba trúng Đê-la-gia,",hlang mă 'bar-jĭt pêng trŏ kơ Đêlaia;
thứ hai mươi bốn vào Ma-a-xia,hlang mă 'bar-jĭt puăn trŏ kơ Maasia
"Đây là các ban phục vụ trong đền thờ CHÚA theo những luật lệ mà tổ phụ họ là A-rôn thiết lập như CHÚA, Đức Chúa Trời của Y-sơ-ra-ên đã truyền","'Nâu bơih khŭl bơngai bơ̆jang lăm hnam Kră Yang, kiơ̆ kơ tơdrong juăt 'bok lu sư Arôn pơkă bơtho ăn kiơ̆ thoi nơ̆r Kră Yang 'Bok Kei-Dei Isơrael pơkă ăn kơ sư"
Những con cháu còn lại của Lê-vi:,'Nâu bơih kon sâu Lêwi mă oei đei:
"Trong con cháu Am-ram có Su-ba-ên,",Đơ̆ng kon sâu Amram đei Subael;
trong con cháu Su-ba-ên có Giê-đia,kon sâu Subăl đei Jêđeia
"Còn về con cháu Rê-ha-bia,",Gah kon sâu Rêhabia đei:
Di-si-gia là trưởng,Ishia pơm yŏng kơdră
Trong con cháu Dít-sê-ha có Sê-lô-mốt;,Lăm kon sâu Ishar đei Sêlômôt;
trong con cháu Sê-lô-hốt có Gia-hát,gah kon sâu Sêlômôt đei Jahat
Trong con cháu U-xi-ên có Mi-ca;,Kon sâu Usiel đei Mika;
trong con cháu Mi-ca có Sa-mia,gah kon sâu Mika đei Samir
Anh em của Mi-ca là Dít-hi-gia;,'Nhŏng oh Mika noh Isia;
trong con cháu Dít-hi-gia có Xa-cha-ri,gah kon sâu Ishia đei Sacharia
Các con trai của Mê-ra-ri là,kon drŏ-nglo Mêrari đơ̆ng Jaasia:
"Bê-nô, Sô-ham, Xác-cua và Y-bê-ri","Benô, Sôham, Sakur, păng Ibri"
Trong con cháu Kích co,Kon sâu Kis đei:
"Vua Đa-vít cùng với những người chỉ huy quân đội cũng tách riêng một số con cháu A-sáp, Hê-man và Giê-đu-thun cho công việc phục dịch; những người này nói tiên tri với tiếng đàn hạc, đàn lia và chập chỏa phụ họa","Đawit păng lu yŏng pơgơ̆r linh 'măn lê̆ pha mơ'nah lu kon sâu Asap, Hêman păng Jêđuthun wă bơ̆jang, reh brŏ dung, tĭng-nĭng hăm preh chhar wă pơma khan lê̆ adrol"
Danh sách những người phục dịch như sau,'Nâu anăn lu bơngai bơ̆jang
"Tất cả những người này là con của Hê-man, vị tiên kiến của vua, theo lời Đức Chúa Trời hứa để tôn vinh quyền năng Ngài","Dôm lu bơngai 'nâu kon drŏ-nglo Hêman ngăl, bơngai khan lê̆ adrol ăn kơ pơtao, kiơ̆ kơ nơ̆r Kră Yang 'Bok Kei-Dei đei pơkă"
Đức Chúa Trời ban cho Hê-man mười bốn con trai và ba con gái,"Wă kơ lu sư bơnê ư-ang kơ Kră Yang, Kră Yang 'Bok Kei-Dei ăn kơ Hêman đei puăn-jĭt 'nu kon drŏ-nglo păng pêng 'nu kon drŏ-kăn"
Tất cả những người trên đều ở dưới quyền cha mình lo về âm nhạc trong đền thờ CHÚA,"Đĭ-đăng lu bơngai noh tă kơ bơngai Jang ala kơ 'bă lu sư kơdih wei-lăng gah tơdrong hơri wă hơri lăm hnam Kră Yang, hăm chhar brŏ dung păng tĭng-nĭng bơ̆jang tơ lăm hnam Kră Yang 'Bok Kei-Dei"
"Họ sử dụng chập chỏa, đàn lia, đàn hạc dưới quyền A-sáp, Giê-đu-thun và Hê-man theo lệnh vua để phục vụ nhà Đức Chúa Trời","Asap, Jêđuthun păng Hêman kiơ̆ kơ pơtao athei"
"Cùng với dòng họ mình, chúng là những người có khả năng, được huấn luyện về âm nhạc để phục vụ CHÚA; số người là hai trăm tám mươi tám người","Hơdai hăm 'nhŏng oh sư đĭ-đăng đei pơhrăm hơgei lăm tơdrong hơri ăn kơ Kră Yang, lu sư đei 'bar-hrĕng tơhngam-jĭt tơhngam 'nu bơngai"
"Thăm thứ ba nhằm Xác-cua, các con trai và họ hàng người, tất cả 12 người","Hlang lăng mă pêng trŏ kơ Sakur, lu kon drŏ-nglo păng 'nhŏng oh sư, đĭ-đăng đei mơjĭt-'bar 'nu"
"Thăm thứ tư trúng Dít-sê-ri, các con trai và họ hàng người, tất cả 12 người","Hlang lăng mă puăn trŏ kơ Isri, lu kon drŏ-nglo păng 'nhŏng oh sư, đĭ-đăng đei mơjĭt-'bar 'nu"
"Thăm thứ năm nhằm Nê-tha-nia, các con trai và họ hàng người, tất cả 12 người","Hlang lăng mă pơđăm trŏ Nêthania, lu kon drŏ-nglo păng 'nhŏng oh sư, đĭ-đăng đei mơjĭt-'bar 'nu"
"Thăm thứ sáu trúng Búc-ki-gia, các con trai và họ hàng người, tất cả 12 người","hlang lăng mă tơdrâu trŏ kơ Bukkia, lu kon drŏ-nglo păng 'nhŏng oh sư, đĭ-đăng đei mơjĭt-'bar 'nu"
"Thăm thứ bảy nhằm Giê-sa-rê-la, các con trai và họ hàng người, tất cả 12 người","Hlang lăng mă tơpơh trŏ kơ Jêsarêla, lu kon drŏ-nglo păng lu 'nhŏng oh sư, đĭ-đăng đei mơjĭt-'bar 'nu"
"Thăm thứ tám trúng I-sa, các con trai và họ hàng người, tất cả 12 người","Hlang lăng mă tơhngam trŏ Jêsaia, lu kon drŏ-nglo păng lu 'nhŏng oh sư, đĭ-đăng đei mơjĭt-'bar 'nu"
"Thăm thứ chín nhằm Ma-tha-nia, các con trai và họ hàng người, tất cả 12 người","Hlang lăng mă tơsĭn trŏ kơ Mathania, lu kon drŏ-nglo păng 'nhŏng oh sư, đĭ-đăng đei mơjĭt-'bar 'nu"
"Thăm thứ mười trúng Si-mê-i, các con trai và họ hàng người, tất cả 12 người","Hlang lăng mă mơjĭt trŏ kơ Simêi, lu kon drŏ-nglo păng 'nhŏng oh sư, đĭ-đăng đei mơjĭt-'bar 'nu"
"Thăm thứ mười một nhằm A-xa-rên, các con trai và họ hàng người, tất cả 12 người","Hlang lăng mă mơjĭt-mônh trŏ kơ Asarel, lu kon drŏ-nglo păng 'nhŏng oh sư, đĭ-đăng đei mơjĭt-'bar 'nu"
"Thăm thứ mười hai trúng Ha-sa-bia, các con trai và họ hàng người, tất cả 12 người","Hlang lăng mă mơjĭt-'bar trŏ Hasabia, lu kon drŏ-nglo păng 'nhŏng oh sư, đĭ-đăng đei mơjĭt-'bar 'nu"
"Thăm thứ mười ba nhằm Su-ba-ên, các con trai và họ hàng người, tất cả 12 người","Hlang lăng mă mơjĭt-pêng trŏ kơ Subăl, lu kon drŏ-nglo păng 'nhŏng oh sư, đĭ-đăng đei mơjĭt-'bar 'nu"
"Thăm thứ mười bốn trúng Ma-ti-thia, các con trai và họ hàng người, tất cả 12 người","Hlang lăng mă mơjĭt-puăn trŏ kơ Matithia, lu kon drŏ-nglo păng 'nhŏng oh sư, đĭ-đăng đei mơjĭt-'bar 'nu"
"Thăm thứ mười lăm nhằm Giê-rê-mốt, các con trai và họ hàng người, tất cả 12 người","Hlang lăng mă mơjĭt-pơđăm trŏ kơ Jêremôt, lu kon drŏ-nglo păng 'nhŏng oh sư, đĭ-đăng đei mơjĭt-'bar 'nu"
"Thăm thứ mười sáu trúng Ha-na-nia, các con trai và họ hàng người, tất cả 12 người","Hlang lăng mă mơjĭt-tơdrâu trŏ kơ Hanania, lu kon drŏ-nglo păng 'nhŏng oh sư, đĭ-đăng đei mơjĭt-'bar 'nu"
"Thăm thứ mười bảy nhằm Giốt-bê-ca-sa, các con trai và họ hàng người, tất cả 12 người","Hlang lăng mă mơjĭt-tơpơh trŏ kơ Jôsbêkasa, lu kon drŏ-nglo păng 'nhŏng oh sư, đĭ-đăng đei mơjĭt-'bar 'nu"
"Thăm thứ mười tám trúng Ha-na-nia, các con trai và họ hàng người, tất cả 12 người","Hlang lăng mă mơjĭt-tơhngam trŏ kơ Hanani, lu kon drŏ-nglo păng 'nhŏng oh sư, đĭ-đăng đei mơjĭt-'bar 'nu"
"Thăm thứ mười chín nhằm Ma-lô-thi, các con trai và họ hàng người, tất cả 12 người","Hlang lăng mă mơjĭt-tơsĭn trŏ kơ Malôthi, lu kon drŏ-nglo păng 'nhŏng oh sư, đĭ-đăng đei mơjĭt-'bar 'nu"
"Thăm thứ hai mươi trúng Ê-li-gia-ta, các con trai và họ hàng người, tất cả 12 người","Hlang lăng mă 'bar-jĭt trŏ kơ Êliatha, lu kon drŏ-nglo păng 'nhŏng oh sư, đĭ-đăng đei mơjĭt-'bar 'nu"
"Thăm thứ hai mươi mốt nhằm Hô-thia, các con trai và họ hàng người, tất cả 12 người","hlang lăng mă 'bar-jĭt mônh trŏ kơ Hôthir, lu kon drŏ-nglo păng 'nhŏng oh sư, đĭ-đăng đei mơjĭt-'bar 'nu"
"Thăm thứ hai mươi hai trúng Ghi-đanh-thi, các con trai và họ hàng người, tất cả 12 người","Hlang lăng mă 'bar-jĭt 'bar trŏ kơ Giđalti, lu kon drŏ-nglo păng 'nhŏng oh sư, đĭ-đăng đei mơjĭt-'bar 'nu"
"Thăm thứ hai mươi ba nhằm Ma-ha-xi-ốt, các con trai và họ hàng người, tất cả 12 người","Hlang lăng mă 'bar-jĭt pêng trŏ kơ Mahasiôt, lu kon drŏ-nglo păng 'nhŏng oh sư, đĭ-đăng đei mơjĭt-'bar 'nu"
"Thăm thứ hai mươi bốn trúng Rô-mam-ti Ê-xe, các con trai và họ hàng người, tất cả 12 người","Hlang lăng mă 'bar-jĭt puăn trŏ kơ Rômamti Êser, lu kon drŏ-nglo păng 'nhŏng oh sư, đĭ-đăng đei mơjĭt-'bar 'nu"
Mê-sê-lê-mi có các con trai là:,Kon drŏ-nglo Mêsêlêmia đei:
"Xa-cha-ri, con trưởng nam,",Secharia kon kơdră sư
"Giê-đi-a-ên, con thứ nhì,","Jêđiael kon mă 'bar,"
Xê-ba-đia thứ ba,"Sêbađia kon mă pêng,"
Giát-ni-ên thứ tư,Jatniêl kon mă puăn
"Ê-lam thứ năm,","Êlam kon mă pơđăm,"
"Giô-ha-nan thứ sáu,","Jehôhanan kon mă tơdrâu,"
và Ê-li-ô-ê-nai thứ bảy,păng Êliehôenai kon mă tơpơh
Các con trai của Ô-bết-ê-đôm là,Lu kon drŏ-nglo Ôbêt Eđôm:
"Sê-ma-gia, con trưởng nam,","Sêmaia kon kơdră sư,"
"Giê-hô-sa-bát thứ nhì,","Jêhôsabat kon mă 'bar,"
"Giô-a thứ ba,","Jôa kon mă pêng,"
"Sa-ca thứ tư,","Sakar kon mă puăn,"
Nê-tha-nên thứ năm,Nêthanel kon mă pơđăm
"A-mi-ên thứ sáu,","Ammiel mă tơdrâu,"
"Y-sa-ca thứ bảy,",Isakar mă tơpơh
và Phê-u-lê-tai thứ tám;,păng Phêulêthai mă tơhngam
vì Đức Chúa Trời ban phước cho Ô-bết-ê-đôm,yua kơ Kră Yang 'Bok Kei-Dei đei tuh tơdrong pŭn hiôk kơ Ôbêt Eđôm ăn đei kon lơ
Con người là Sê-ma-gia cũng có các con trai lãnh đạo các tộc mình vì chúng là những người dũng mãnh,"Sêmêia, kon drŏ-nglo Ôbêt Eđôm, kư̆m pơjing lu kon drŏ-nglo, đei wei-lăng adrĕch 'bă yua kơ lu sư tă kơ bơngai gơh hơgei ngăl"
"Các con trai của Sê-ma-gia là Ốt-ni, Rê-pha-ên, Ô-bết, Ên-xa-bát; các anh em họ là Ê-li-hu và Sê-ma-kia đều là những người dũng mãnh","Lu kon drŏ-nglo Sêmaia noh Ôtni, Rêphăl, Ôbêt păng Êlsabat; 'nhŏng oh lu sư Êlihu păng Sêmakia, lu bơngai nuih gơh hơgei ngăl"
"Tất cả những người này đều là con cháu Ô-bết-ê-đôm; họ, con cái và họ hàng đều là những ngưởi dũng mãnh, có khả năng làm việc; có 62 người thuộc dòng dõi Ô-bết-ê-đôm","Đĭ-đăng lu bơngai 'nâu kon sâu Ôbêt Eđôm; lu sư, hăm lu kon drŏ-nglo păng 'nhŏng oh lu sư tă kơ bơngai nuih gơh hơgei tơdrong jang đei tơdrâu-jĭt 'bar 'nu bơngai lu sư gah adrĕch adrung Ôbêt Eđôm"
"Mê-sê-lê-mi có các con trai và những người họ hàng, cả thảy là 18 người, đều là những người dũng mãnh","Mêsêlêmia đei lu kon drŏ-nglo păng 'nhŏng oh sư tă kơ bơngai nuih gơh hơgei, đĭ-đăng đei mơjĭt-tơhngam 'nu"
Hô-sa thuộc dòng Mê-ra-ri có các con trai: Sim-ri là trưởng dù người không phải là con đầu nhưng cha người lập người làm con trưởng,"Hôsa, adrĕch adrung Mêrari, kư̆m đei lu kon drŏ-nglo; Simri kon mă mônh mă khan sư ưh kơ trŏ kon kơdră ră, 'bă sư pôk sư pơm kon kơdră"
"Hinh-kia thứ nhì, Tê-ba-lia thứ ba, Xa-cha-ri thứ tư","Hilkia kon mă 'bar, Têbalia kon mă pêng păng Sacharia kon mă puăn"
Tất cả các con trai và họ hàng của Hô-sa là 13 người,Đĭ-đăng kon drŏ-nglo păng 'nhŏng Hôsa đei mơjĭt-pêng 'nu
Đây là các ban giữ cổng cùng những người trưởng ban; họ cũng như các anh em mình có nhiệm vụ phục dịch đền thờ CHÚA,"'Nâu lu khŭl bơngai gak 'măng jang kiơ̆ kơ yŏng pơgơ̆r lu sư, kư̆m bơ̆jang lăm hnam Kră Yang lei-lăi thoi lu 'nhŏng oh sư"
"Họ theo từng tộc, trẻ cũng như già đều bắt thăm nhận cổng",Lu sư kiơ̆ kơ adrĕch adrung kơdih na hlang lăng iŏk 'măng jang bơngai 'lơ̆p thoi bơngai 'lŏ
Thăm cho cổng Nam trúng vào Ô-bết-ê-đôm còn thăm về nhà kho nhằm các con trai ông,"Hlang lăng 'măng jang gơal trŏ kơ Ôbêt Eđôm; hlang lăng trŏ kơ lu kon drŏ-nglo sư, wei-lăng hnam 'măn tơmam"
"Mỗi ngày có sáu người Lê-vi canh cổng Đông, bốn người canh cổng Bắc, bốn người canh cổng Nam và các nhà kho, hai người mỗi nhà kho","Rim năr 'măng jang Hơlĕch đei tơdrâu 'nu bơngai Lêwi gak 'măng jang gah yă-nơ̆m đei puăn 'nu bơngai Lêwi gak, 'măng jang Gơal đei puăn 'nu bơngai gak, păng hnam 'măn tơmam, rim 'măng đei 'bar 'nu bơngai"
"Về khu phụ thuộc phía tây, bốn người canh ngoài đường và hai người ở trong khu vực",Tơ 'bar tŏ anih gah Bơmơ̆t đei puăn 'nu 'bơ̆t 'nguaih kơ trong păng đei 'bar 'nu bơngai 'bơ̆t lăm cham
Đó là những ban canh cổng theo dòng dõi Kô-rê và Mê-ra-ri,"'Noh lu bơngai gak 'măng jang, kon sâu Kôra păng kon sâu Mêrari"
"Trong vòng người Lê-vi, A-hi-gia lo việc quản lý các nhà kho đền thờ Đức Chúa Trời và kho chứa các vật thánh","Lăm lu bơngai Lêwi mơ'nah wei-lăng hnam 'măn tơmam, hnam Kră Yang 'Bok Kei-Dei păng anih tah lu tơmam rơgoh"
